2026-03-30 19:46:39.615 | INFO     | Models:train_test_split:40 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-30 19:46:39.621 | INFO     | Models:__log_hyperparmeters__:63 - Class: MLPNet | hyperparams: {'epochs': 10000, 'lr': 0.01, 'verbose': 100}
2026-03-30 19:46:39.636 | INFO     | Models:get_metrics:137 - Class: MLPNet | RMSE train: 1594149.7546
2026-03-30 19:46:39.636 | INFO     | Models:get_metrics:138 - Class: MLPNet | RMSE test: 1559207.4638
2026-03-30 19:46:39.636 | INFO     | Models:get_metrics:139 - Class: MLPNet | MAPE train: 241.3694
2026-03-30 19:46:39.636 | INFO     | Models:get_metrics:140 - Class: MLPNet | MAPE train: 240.0878
2026-03-30 19:47:15.109 | INFO     | Models:train_test_split:40 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-30 19:47:15.118 | INFO     | Models:__log_hyperparmeters__:63 - Class: MLPNet | hyperparams: {'epochs': 10000, 'lr': 0.01, 'verbose': 100}
2026-03-30 19:47:15.139 | INFO     | Models:get_metrics:137 - Class: MLPNet | RMSE train: 2291922.0071
2026-03-30 19:47:15.141 | INFO     | Models:get_metrics:138 - Class: MLPNet | RMSE test: 2485479.6363
2026-03-30 19:47:15.141 | INFO     | Models:get_metrics:139 - Class: MLPNet | MAPE train: 144.6215
2026-03-30 19:47:15.141 | INFO     | Models:get_metrics:140 - Class: MLPNet | MAPE train: 147.3018
2026-03-30 19:48:53.074 | INFO     | Models:train_test_split:52 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-30 19:48:53.085 | INFO     | Models:__log_hyperparmeters__:75 - Class: MLPNet | hyperparams: {'epochs': 10000, 'lr': 0.01, 'verbose': 100}
2026-03-30 19:48:53.104 | INFO     | Models:get_metrics:148 - Class: MLPNet | RMSE train: 1222493.6993
2026-03-30 19:48:53.104 | INFO     | Models:get_metrics:149 - Class: MLPNet | RMSE test: 1182108.5490
2026-03-30 19:48:53.104 | INFO     | Models:get_metrics:150 - Class: MLPNet | MAPE train: 117.1105
2026-03-30 19:48:53.104 | INFO     | Models:get_metrics:151 - Class: MLPNet | MAPE train: 114.5484
2026-03-30 19:49:55.235 | INFO     | Models:train_test_split:52 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-30 19:49:55.249 | INFO     | Models:__log_hyperparmeters__:75 - Class: MLPNet | hyperparams: {'epochs': 10000, 'lr': 0.01, 'verbose': 100}
2026-03-30 19:49:55.262 | INFO     | Models:get_metrics:148 - Class: MLPNet | RMSE train: 1483926.7927
2026-03-30 19:49:55.262 | INFO     | Models:get_metrics:149 - Class: MLPNet | RMSE test: 1466525.9204
2026-03-30 19:49:55.262 | INFO     | Models:get_metrics:150 - Class: MLPNet | MAPE train: 186.7066
2026-03-30 19:49:55.264 | INFO     | Models:get_metrics:151 - Class: MLPNet | MAPE train: 190.7381
2026-03-30 19:52:12.010 | INFO     | Models:train_test_split:52 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-30 19:52:12.022 | INFO     | Models:__log_hyperparmeters__:75 - Class: MLPNet | hyperparams: {'epochs': 10000, 'lr': 0.01, 'verbose': 100}
2026-03-30 19:52:12.040 | INFO     | Models:get_metrics:148 - Class: MLPNet | RMSE train: 2075741.5840
2026-03-30 19:52:12.040 | INFO     | Models:get_metrics:149 - Class: MLPNet | RMSE test: 2349909.1043
